rewardAC,¶ÜÊ×Ë®Æ½Æ«²î,¶ÜÖÐË®Æ½Æ«²î,¶ÜÎ²Ë®Æ½Æ«²î,¶ÜÊ×´¹Ö±Æ«²î,¶ÜÖÐ´¹Ö±Æ«²î,¶ÜÎ²´¹Ö±Æ«²î,time/s
645.2325,-10.57,-17.11,-21.06,11.79,17.24,20.58,41.0958287
3.84515,15.99,18.52,17.41,-13.28,-18.09,-21.06,12.3526424
116.59965,5.78,24.99,0.52,16.64,18.63,16.65,12.0973623
146.547275,5.58,26.73,2.92,7.42,-16.38,-30.9,28.1831528
61.78585,-8.93,-14.42,-37.81,-15.05,-17.46,-22.16,12.1360396
-65.4980625,-20.11,-10.47,-40.81,18.15,18,17.91,17.6967012
291.4018625,0.75,26.5,5.48,9.47,-16.24,-31.94,28.4040867
68.909225,-8.04,-14.3,-38.15,-15.06,-17.43,-22.1,12.2189518
210.701475,1.71,26.08,4.42,3.84,-17.08,-29.85,23.2255258
116.42155,5.18,25.03,0.96,17.03,18.62,16.4,12.1423351
68.6649125,-8.45,-14.43,-38.12,-15.32,-17.45,-21.99,12.3222108
288.453175,6.38,26.74,2.46,-2.98,-17.06,-25.66,28.7099549
7.9321625,15.27,18.53,17.88,-11.03,-18.17,-22.56,12.1737419
31.8107,-14.28,-10.31,-44.24,17.08,17.99,18.55,17.9618979
115.6769,10.89,19.55,17,17.8,18.01,18.13,12.2733084
-5.512775,18.01,18.48,16.12,-14.42,-18.09,-20.35,12.3947927
116.4016,5.25,25.1,0.87,17.76,18.01,18.17,12.1226875
118.647725,6.8,-8.47,-54.29,2.18,17.39,26.67,23.0512038
644.156425,-11.04,-17.18,-20.89,12.1,17.29,20.47,41.1158955
88.848375,17.36,25.67,-5.5,-11.74,-17.94,-21.72,17.7146195
211.0885,7.61,-17.73,-33.19,6.66,17.86,24.69,17.7591524
116.50825,4.51,25.19,1.49,18.04,18,17.98,12.3669606
115.794,10.74,19.55,17.1,17.33,18.01,18.43,12.192888
34.0129,-12.34,-11.21,-46.86,-15.68,-18.04,-19.48,12.199687
-4.9923,15.69,18.52,17.6,-12.22,-18.11,-21.74,12.203252
-42.5784125,24.52,19.13,13.04,-3.33,-17.09,-25.49,28.7730883
61.03915,0.07,-10.04,-36.35,-16.7,-16.9,-20.22,39.5475446
641.09595,-11.07,-17.3,-21.1,12.32,17.41,20.52,41.0546768
146.9202375,6.27,-8.38,-53.94,3.51,17.42,25.91,23.2200662
644.6656,-10.97,-17.24,-21.06,11.7,17.3,20.72,41.0307837
162.097075,16.26,25.4,-5.18,11.93,18.64,19.54,18.0858313
119.1713,13.76,18.55,18.83,-17.72,-18.03,-18.24,12.2753193
115.72725,10.42,19.55,17.3,17.89,18,18.07,12.1247855
72.4694625,-7.8,-14.31,-38.31,-16.44,-17.41,-21.23,12.3031796
-29.5074375,-27.63,-10.92,-37.05,5.04,18.18,26.2,12.2363437
196.055325,1.45,26.03,4.53,4.17,-17.11,-30.09,23.1752958
-12.8262,16.87,18.51,16.85,-11.06,-18.12,-22.46,12.1601771
87.7029875,8.66,-6.46,-52.47,-1.08,16.69,27.54,28.7050718
180.663075,1.82,26.08,4.36,3.86,-17.08,-29.86,23.2138652
116.31135,4.95,25.11,1.06,17.52,18.01,18.32,12.2476589
115.52975,10.58,19.56,17.2,17.93,18,18.05,12.1672356
115.840825,-3.78,-10.07,-50.28,-15.74,-17.97,-19.33,17.7789408
182.9754875,1.37,25.99,4.49,4.54,-17.05,-30.23,23.2152408
131.2110125,15.74,26.52,-3.4,-7.62,-17.58,-23.66,23.1354043
119.56105,5.24,25.06,0.97,17.36,18.62,16.2,12.3309368
35.69235,-11.84,-11.1,-46.97,-17.1,-18.01,-18.57,12.2236353
116.9149,5.94,25.14,0.64,-14.93,-18.04,-19.94,12.3150163
116.61895,4.98,25.04,1.09,16.47,18.63,16.76,12.2242044
-24.587425,-24.17,-10.32,-38.15,0.32,17.75,28.39,17.7489526
-38.7771375,-20.58,-11.02,-41.52,16.78,18.02,18.78,12.1451771
118.44575,11.37,19.54,16.7,15.01,18.04,19.9,12.2455123
124.5509375,7.38,-8.24,-54.4,2.06,17.33,26.66,23.2270582
169.1687125,6.07,-8.39,-53.83,4.41,17.45,25.42,23.2092368
115.74435,10.87,19.55,17.02,17.25,18.01,18.48,12.3745055
229.610775,1.45,26.06,4.56,4.31,-17.06,-30.11,23.0875971
